Bathrooms,Bedrooms,Built Year,Garage Space,Kitchens,Price,Square Feet,Property Type_Condominium,Property Type_Duplex,Property Type_Manufactured Home,Property Type_Multi Family,Property Type_Retail,Property Type_Single Family Residence,Property Type_Townhouse,Property Type_Unimproved Land,Property Type_Warehouse,City_Regina,City_Saskatoon
3,5,1953,2,2,459900,1734,0,0,0,0,0,1,0,0,0,1,0
3,4,2025,2,1,1149900,2039,0,0,0,0,1,0,0,0,0,0,1
3,4,1926,1,1,999900,1600,0,0,0,0,1,0,0,0,0,0,1
4,5,1930,3,3,439900,2054,0,0,0,0,1,0,0,0,0,0,1
1,2,1955,1,2,219900,960,0,0,0,0,0,1,0,0,0,1,0
2,3,1985,1,1,164900,1057,1,0,0,0,0,0,0,0,0,1,0
4,5,2001,2,1,999900,3552,0,0,0,0,1,0,0,0,0,0,1
2,2,2016,1,1,269900,852,1,0,0,0,0,0,0,0,0,0,1
2,3,1952,1,2,145000,862,0,0,0,0,0,1,0,0,0,1,0
2,3,2009,2,1,288900,1083,0,0,0,0,0,0,1,0,0,0,1
2,4,1968,1,1,319900,1088,0,0,0,0,0,1,0,0,0,0,1
2,2,2007,1,1,269900,843,1,0,0,0,0,0,0,0,0,0,1
2,4,1954,1,1,80000,768,0,0,0,0,0,1,0,0,0,1,0
1,4,1922,1,1,209900,800,0,0,0,0,0,1,0,0,0,0,1
1,2,1961,2,1,249900,754,0,0,0,0,0,1,0,0,0,1,0
1,2,1959,1,1,269900,768,0,0,0,0,0,1,0,0,0,1,0
4,5,2014,2,1,724900,1896,0,0,0,0,1,0,0,0,0,0,1
4,3,2020,2,1,569900,1716,0,0,0,0,1,0,0,0,0,0,1
2,2,1987,1,1,209900,1109,1,0,0,0,0,0,0,0,0,1,0
2,3,1983,2,1,349950,952,0,0,0,0,0,1,0,0,0,1,0
2,3,2005,1,1,274900,1171,0,0,0,0,1,0,0,0,0,1,0
3,3,2024,2,1,457900,1515,0,0,0,0,1,0,0,0,0,1,0
2,3,2009,1,1,329900,1233,0,0,0,0,0,0,1,0,0,0,1
3,3,2024,1,1,363900,138,0,0,0,0,1,0,0,0,0,1,0
2,3,1978,1,1,269900,600,0,0,0,0,0,0,1,0,0,0,1
1,1,2012,1,1,229900,753,1,0,0,0,0,0,0,0,0,1,0
1,2,1984,1,1,179900,980,1,0,0,0,0,0,0,0,0,0,1
3,4,1982,2,1,549900,2700,0,0,0,0,1,0,0,0,0,0,1
4,5,1968,2,2,539900,2182,0,1,0,0,0,0,0,0,0,1,0
2,4,1929,1,1,269900,1120,0,1,0,0,0,0,0,0,0,1,0
3,2,2003,2,1,359900,1066,0,0,0,0,0,0,1,0,0,1,0
2,2,1912,2,1,199900,1312,0,0,0,0,1,0,0,0,0,1,0
3,3,2024,2,1,824900,2275,0,0,0,0,1,0,0,0,0,0,1
1,2,1948,1,1,199900,680,0,0,0,0,0,1,0,0,0,0,1
1,2,1974,2,1,104900,909,1,0,0,0,0,0,0,0,0,1,0
4,4,1969,2,1,799900,2596,0,0,0,0,1,0,0,0,0,1,0
3,4,1990,2,1,579900,1684,0,0,0,0,0,1,0,0,0,0,1
4,4,2010,2,1,729900,2250,0,0,0,0,1,0,0,0,0,0,1
3,4,2016,3,1,454900,1672,0,0,0,0,1,0,0,0,0,0,1
2,2,2008,2,1,239900,830,1,0,0,0,0,0,0,0,0,1,0
4,5,1977,1,3,489900,2650,0,0,0,0,1,0,0,0,0,1,0
2,5,1962,2,1,449900,1060,0,0,0,0,0,1,0,0,0,0,1
3,5,2017,2,1,759990,2379,0,0,0,0,1,0,0,0,0,1,0
4,4,2013,3,1,849900,2247,0,0,0,0,1,0,0,0,0,1,0
2,2,1970,1,1,399900,1155,1,0,0,0,0,0,0,0,0,0,1
4,5,2022,2,2,759899,2239,0,0,0,0,1,0,0,0,0,0,1
3,4,1978,1,1,314900,1057,0,0,0,0,0,1,0,0,0,1,0
4,4,2017,2,1,529900,1471,0,0,0,0,1,0,0,0,0,1,0
1,2,1928,1,1,25000,669,0,0,0,0,0,1,0,0,0,1,0
2,4,1970,2,1,359900,903,0,0,0,0,0,1,0,0,0,1,0
3,3,2006,2,1,569000,1795,0,0,0,0,1,0,0,0,0,0,1
2,5,1965,3,2,899900,1190,0,0,0,0,0,1,0,0,0,0,1
2,4,1964,1,1,199900,1038,0,0,0,0,0,1,0,0,0,1,0
3,4,1973,2,1,409900,1390,0,0,0,0,0,1,0,0,0,0,1
2,4,1912,1,1,275000,1831,0,0,0,0,1,0,0,0,0,1,0
1,2,1947,1,1,196900,616,0,0,0,0,0,1,0,0,0,0,1
2,3,1989,1,1,324900,930,0,0,0,0,0,0,1,0,0,0,1
2,2,1986,2,1,349900,1218,0,0,0,0,0,1,0,0,0,1,0
2,2,1990,1,2,184500,1453,1,0,0,0,0,0,0,0,0,1,0
2,2,2023,1,1,249900,1004,0,0,0,0,1,0,0,0,0,0,1
2,4,2016,2,1,399900,883,0,0,0,0,0,1,0,0,0,1,0
2,4,1966,1,1,274900,1052,0,0,0,0,0,1,0,0,0,1,0
1,2,1968,1,1,144900,990,1,0,0,0,0,0,0,0,0,0,1
2,4,1945,2,1,360000,1455,0,0,0,0,1,0,0,0,0,0,1
2,4,2010,1,2,329900,1020,0,0,0,0,0,1,0,0,0,1,0
2,3,1983,2,1,449900,1028,0,0,0,0,0,1,0,0,0,0,1
1,3,1920,2,1,64900,756,0,0,0,0,0,1,0,0,0,1,0
2,5,1964,2,1,405000,1047,0,0,0,0,0,1,0,0,0,0,1
2,2,2007,1,1,419900,1081,1,0,0,0,0,0,0,0,0,0,1
1,1,1950,0,1,239900,540,0,0,0,0,0,1,0,0,0,0,1
1,1,1968,1,1,118000,608,0,0,0,0,0,0,1,0,0,0,1
1,2,1978,0,1,89988,763,1,0,0,0,0,0,0,0,0,0,1
2,2,1930,0,1,319900,840,0,0,0,0,1,0,0,0,0,0,1
3,3,2024,2,1,491900,1581,0,0,0,0,1,0,0,0,0,0,1
3,3,1995,2,1,1450000,3244,0,0,0,0,0,1,0,0,0,1,0
3,5,1985,2,2,618800,1893,0,0,0,0,1,0,0,0,0,0,1
2,1,1984,1,1,389900,983,1,0,0,0,0,0,0,0,0,0,1
1,2,2008,2,1,189900,897,0,0,0,0,0,0,1,0,0,1,0
3,3,2024,2,1,459900,1505,0,0,0,0,1,0,0,0,0,0,1
2,2,2006,2,1,239900,946,0,0,0,0,1,0,0,0,0,1,0
1,2,1908,1,1,254900,1214,1,0,0,0,0,0,0,0,0,1,0
2,4,1960,2,1,319900,947,0,0,0,0,0,1,0,0,0,0,1
3,3,1927,2,1,339900,1403,0,0,0,0,1,0,0,0,0,1,0
2,4,1952,2,1,389900,960,0,0,0,0,0,1,0,0,0,1,0
2,3,1977,2,1,339900,1036,0,0,0,0,0,1,0,0,0,1,0
